Ano,Mês,SG_UF_NOT,Quantidade de Casos
2015,8,29,4220
2015,8,31,2968
2015,8,32,3273
2015,8,33,3480
2015,8,35,7655
2015,8,41,2668
2015,8,42,183
2015,8,43,92
2015,8,50,748
2015,8,51,1342
2015,8,52,3599
2015,8,53,331
2015,9,11,126
2015,9,12,288
2015,9,13,401
2015,9,14,424
2015,9,15,1153
2015,9,16,196
2015,9,17,454
2015,9,21,164
2015,9,22,131
2015,9,23,2769
2015,9,24,271
2015,9,25,576
2015,9,26,5972
2015,9,27,1973
2015,9,28,1559
2015,9,29,3405
2015,9,31,2392
2015,9,32,3295
2015,9,33,2230
2015,9,35,7135
2015,9,41,2161
2015,9,42,220
2015,9,43,60
2015,9,50,749
2015,9,51,1109
2015,9,52,2183
2015,9,53,144
2015,10,11,243
2015,10,12,345
2015,10,13,391
2015,10,14,107
2015,10,15,879
2015,10,16,109
2015,10,17,441
2015,10,21,226
2015,10,22,108
2015,10,23,1558
2015,10,24,288
2015,10,25,285
2015,10,26,7517
2015,10,27,2770
2015,10,28,1543
2015,10,29,2272
2015,10,31,2733
2015,10,32,4293
2015,10,33,1944
2015,10,35,9986
2015,10,41,2359
2015,10,42,206
2015,10,43,65
2015,10,50,1198
2015,10,51,1206
2015,10,52,2809
2015,10,53,171
2015,11,11,378
2015,11,12,421
2015,11,13,280
2015,11,14,53
2015,11,15,947
2015,11,16,170
2015,11,17,829
2015,11,21,258
2015,11,22,107
2015,11,23,1199
2015,11,24,313
2015,11,25,486
2015,11,26,21146
2015,11,27,4291
2015,11,28,2490
2015,11,29,3092
2015,11,31,5936
2015,11,32,4734
2015,11,33,3290
2015,11,35,14256
2015,11,41,3225
2015,11,42,335
2015,11,43,90
2015,11,50,3982
2015,11,51,2032
2015,11,52,4635
2015,11,53,302
2015,12,11,916
2015,12,12,818
2015,12,13,602
2015,12,14,91
2015,12,15,1638
2015,12,16,94
2015,12,17,2469
2015,12,21,594
2015,12,22,194
2015,12,23,1520
2015,12,24,944
2015,12,25,3488
2015,12,26,26965
2015,12,27,3292
2015,12,28,1832
2015,12,29,5205
2015,12,31,17906
2015,12,32,8012
2015,12,33,9903
2015,12,35,27486
2015,12,41,7322
2015,12,42,615
2015,12,43,290
2015,12,50,10488
2015,12,51,5133
2015,12,52,9101
2015,12,53,643
2016,1,11,3002
2016,1,12,1517
2016,1,13,1441
2016,1,14,60
2016,1,15,2375
2016,1,16,148
2016,1,17,4338
2016,1,21,2308
2016,1,22,415
2016,1,23,2952
2016,1,24,3762
2016,1,25,5097
2016,1,26,30606
2016,1,27,4000
2016,1,28,1160
2016,1,29,8352
2016,1,31,64418
2016,1,32,12062
2016,1,33,20293
2016,1,35,67638
2016,1,41,17861
2016,1,42,1286
2016,1,43,653
2016,1,50,20651
2016,1,51,9069
2016,1,52,20480
2016,1,53,2265
2016,2,11,4019
2016,2,12,2599
2016,2,13,2518
2016,2,14,75
2016,2,15,4081
2016,2,16,421
2016,2,17,5730
2016,2,21,6009
2016,2,22,775
2016,2,23,6344
2016,2,24,17561
2016,2,25,8927
2016,2,26,36849
2016,2,27,4646
2016,2,28,2127
2016,2,29,24608
2016,2,31,160763
2016,2,32,13289
2016,2,33,21149
2016,2,35,109163
2016,2,41,31069
2016,2,42,3028
2016,2,43,1357
2016,2,50,18091
2016,2,51,10009
2016,2,52,36037
2016,2,53,6001
2016,3,11,3329
2016,3,12,1797
2016,3,13,2402
2016,3,14,132
2016,3,15,3827
2016,3,16,685
2016,3,17,3565
2016,3,21,7986
2016,3,22,975
2016,3,23,10831
2016,3,24,21847
2016,3,25,12189
2016,3,26,26018
2016,3,27,5208
2016,3,28,1490
2016,3,29,25728
2016,3,31,202922
2016,3,32,12443
2016,3,33,23237
2016,3,35,131765
2016,3,41,37914
2016,3,42,4768
2016,3,43,2473
2016,3,50,11856
2016,3,51,5641
2016,3,52,39075
2016,3,53,6802
2016,4,11,1875
2016,4,12,1194
2016,4,13,2802
2016,4,14,104
2016,4,15,3178
2016,4,16,541
2016,4,17,2096
2016,4,21,7262
2016,4,22,2427
2016,4,23,18432
2016,4,24,7812
2016,4,25,7943
2016,4,26,10097
2016,4,27,3559
2016,4,28,810
2016,4,29,11073
2016,4,31,154810
2016,4,32,8620
2016,4,33,24342
2016,4,35,81167
2016,4,41,28558
2016,4,42,2997
2016,4,43,2210
2016,4,50,6295
2016,4,51,2206
2016,4,52,26513
2016,4,53,4022
2016,5,11,887
2016,5,12,576
2016,5,13,1698
2016,5,14,106
2016,5,15,1785
2016,5,16,344
2016,5,17,1719
2016,5,21,3077
2016,5,22,1738
2016,5,23,23140
2016,5,24,5275
2016,5,25,5011
2016,5,26,5619
2016,5,27,2803
2016,5,28,319
2016,5,29,4963
2016,5,31,56112
2016,5,32,3158
2016,5,33,13037
2016,5,35,30579
2016,5,41,6544
2016,5,42,859
2016,5,43,673
2016,5,50,1812
2016,5,51,904
2016,5,52,13222
2016,5,53,2319
2016,6,11,392
2016,6,12,362
2016,6,13,1331
2016,6,14,168
2016,6,15,921
2016,6,16,251
2016,6,17,769
2016,6,21,1091
2016,6,22,982
2016,6,23,15461
2016,6,24,3181
2016,6,25,3103
2016,6,26,3388
2016,6,27,1635
2016,6,28,271
2016,6,29,2106
2016,6,31,11198
2016,6,32,964
2016,6,33,5061
2016,6,35,8266
2016,6,41,1623
2016,6,42,139
2016,6,43,93
2016,6,50,441
2016,6,51,398
2016,6,52,5396
2016,6,53,1099
2016,7,11,339
2016,7,12,192
2016,7,13,799
2016,7,14,409
2016,7,15,657
2016,7,16,228
2016,7,17,314
2016,7,21,767
2016,7,22,416
2016,7,23,8771
2016,7,24,1696
2016,7,25,1468
2016,7,26,2105
2016,7,27,1103
2016,7,28,256
2016,7,29,1224
2016,7,31,2684
2016,7,32,659
2016,7,33,2697
2016,7,35,4309
2016,7,41,1291
2016,7,42,131
2016,7,43,83
2016,7,50,217
2016,7,51,285
2016,7,52,2240
2016,7,53,471
2016,8,11,163
2016,8,12,162
2016,8,13,577
2016,8,14,453
2016,8,15,610
2016,8,16,354
2016,8,17,247
2016,8,21,609
2016,8,22,299
2016,8,23,5079
2016,8,24,969
2016,8,25,457
2016,8,26,1938
2016,8,27,768
2016,8,28,376
2016,8,29,963
2016,8,31,2035
2016,8,32,566
2016,8,33,1330
2016,8,35,3984
2016,8,41,1432
2016,8,42,150
2016,8,43,123
2016,8,50,252
2016,8,51,353
2016,8,52,1970
2016,8,53,234
2016,9,11,141
2016,9,12,121
2016,9,13,380
2016,9,14,187
2016,9,15,463
2016,9,16,205
2016,9,17,142
2016,9,21,203
2016,9,22,147
2016,9,23,2779
2016,9,24,456
2016,9,25,221
2016,9,26,1297
2016,9,27,425
2016,9,28,183
2016,9,29,787
2016,9,31,1855
2016,9,32,524
2016,9,33,812
2016,9,35,4391
2016,9,41,1588
2016,9,42,162
2016,9,43,71
2016,9,50,263
2016,9,51,335
2016,9,52,2131
2016,9,53,153
2016,10,11,158
2016,10,12,125
2016,10,13,338
2016,10,14,111
2016,10,15,438
2016,10,16,164
2016,10,17,190
2016,10,21,137
2016,10,22,121
2016,10,23,2194
2016,10,24,259
2016,10,25,336
2016,10,26,904
2016,10,27,251
2016,10,28,172
2016,10,29,1055
2016,10,31,2355
2016,10,32,518
2016,10,33,745
2016,10,35,6338
2016,10,41,2401
2016,10,42,171
2016,10,43,127
2016,10,50,269
2016,10,51,414
2016,10,52,2655
2016,10,53,170
2016,11,11,382
2016,11,12,223
2016,11,13,472
2016,11,14,73
